Comments,Sentiment
oppo indonesia : open recruitment for cmo oppo indonesia,negatif
kelihatan kualitasnya wkwk,negatif
"<a href="" <a href="" ",negatif
sampah,negatif
"oppo clearly needs to sign another indonesian cmo ... the product itself is not bad, but he clearly needs to resign ... what a joke ...",negatif
wohahahahaha brand hp paling bnyak rusak di konter perbaikan smartphone.  lawak.,negatif
ga pernah tertarik ama smartphone dari brand ini,negatif
"this is an insult, they think that we are stupid. bilang aja biar cuan maksimal dengan kasih mediatek dimensity, kalau pakai snapdragon atau exynos akan ngurangin gross margin profit.",negatif
yaelah kirain terima kritikan malah mencari pembenaran,negatif
this video makes me sure not to buy oppo phones,negatif
gaje njing,negatif
ngga pernah dan ngga akan pernah beli product oppo selama manajemen nya konyol kayak begini,negatif
jangan beli oppo,negatif
numpang tenar dengan mancing,negatif
fix begitu nonton video ini saya ga akan beli oppo lagi dan oppo reno 12 pro jadi  terakhir.... eneg sama perusahaan  ga terima kritik trus  tambah bikin eneg ngedengerin gaya ngomongnya kalo mau ngomong bahasa inggris ya pake bahasa inggris aja jangan dicampur2 bahasa indonesia... mau bahasa indonesia ya indonesia aja.. katro jadinya.,negatif
"oppo, where do you get this cmo ????",negatif
oppo,negatif
si mas mas marketing ngapain njierr,negatif
"badut badut, bukanya nerima malah ngelawan. pantes salesnya harus tryhard biar kejual barangnya",negatif
yang di bilang apa di jawab apa kebanyakan cheers,negatif
"woww.. 3,8jt subscriber  nonton ratusan doang, kecuali video bad*t ini. subs beli ya..? wkwk",negatif
bro pikir orang indo gblk teknologi,negatif
sentilan gadgetin,negatif
ini kenapa videonya agak sedikit berubah dari awalnya ya? apakah ada editing atau pemakaian ai?,negatif
ini orang jaksel ya kontl,negatif
oppokontl,negatif
yang di kritik apa yang dijawab apa. pemahaman gagal aowkaowkaowk,negatif
di kritik gak makin banyak perubahan malah makin banyak alasan blok.,negatif
wkwkwkwkwk ngakak so hard .. ya gpp demi dpat spotlight,negatif
cmo nya kira2 pakek apple apa oppo ya? wkwkwkwk,negatif
"maaf saya dislike dulu, karena saya tidak suka video ini kl kata bang david",negatif
applenya mana?,negatif
ampas mah ya ampas aja,negatif
billy saputra jadi cmo nya oppo?,negatif
oppo spek ampas harga gak ngontak,negatif
".....  dah lah, ane sebagai  suka teknologi malez juga liat ini.",negatif
ini efeknya kalo keterima kerja pake orang dalem :d :d,negatif
jual barang di indo bahasanya campur&quot; bang satttt,negatif
banned oppo,negatif
"tinggal ngaku aja loh padahal, kita pilih chipset ini dimensity 7300 karna kita ngambil margin untung  besar   pantesan produk2nya badut,  jd cmo aja tololnya kek gini",negatif
oppo ampas,negatif
tolong bikin videonya jangan keliatan baca,negatif
yaelah hp badut,negatif
i won&#39;t be surprised if you get fired by the corporate for sabotaging all oppo sales in indonesia lmao.,negatif
"pak bicara indo bapak belum jelas, saya kurang paham mendengarnya",negatif
"jelas, ini blunder sih",negatif
keknya sales oppo di gerai oppo lebih jago nanggepin pertanyaan kritis konsumennya dibanding cmo nya wkwk,negatif
oppo flop era is coming,negatif
video blunder,negatif
"sayangnya laptopnya aja masih pake macbook, kliatan klo gak pede sama produk sendiri, kan ada oppo versi tabletnya oppo pad air.",negatif
badut,negatif
bye bye oppo,negatif
"udah jongos songong kelihatan nih orang kalau lagi ngumpul sok pinter, makanya bilangin bos lu kalau nyetak pcb jangan kelamaan ",negatif
"gw pernah beli a5 2020, ponsel  average,  bikin kesel itu ga ada fast charging nya, busyet...  santuy aja, tapi no more oppo...",negatif
"bang hapus bang, gw lagi makan",negatif
jaka sembung bawa golok,negatif
"kok ada ya bre gaptek bikin hp,bisa bisanya dimensty 7300&gt;2200 exynos mana harganya ga ngotak lagi btw itu <a href="" masih keliatan sensor logo applenya",negatif
always listening consumers?,negatif
wkwkwk lawak bener,negatif
kebanyakan nyemil odol ni brand keknya,negatif
plis smg dibales para reviewerrr,negatif
"blunder ngeluarin video defend begini, makin di defend malah makin bkin orang gak empati ya..",negatif
prettt sampahh,negatif
"pecat aj  punya ide bikin video beginian  perusahaan sebesar oppo berasa masih todler  suka tantrum sama kritikan, wkwkwkwk",negatif
"kalo soal tech reviewer, oppo harusnya kalem aja.  harus oppo lakukan adalah lebih mengapresiasi sales promoternya, karena rata2 org indonesia beli oppo bukan karena mereka ngerti spek, tp sales2nya  gigih dan handal makanya anda bisa dapet posisi tinggi penjualan di sini",negatif
yang nonton dikit amat.,negatif
najis pakai oppo,negatif
enjoy your bluder oppoh,negatif
awokawokawkok laptop apple awokawokawkok bluder awokawokawkok,negatif
"salam ereksi bunda  merk hp ibu2 fb pro berkonten ga jelas, butuh filter seputih tepung diwajah  salam ereksi bunda-bunda",negatif
blunder lagi aja,negatif
5 menit pembelaan paling mengecewakan dalam hidup saya,negatif
"<a href="" dimensity 8100 bi lek ",negatif
"oooopo, dibagi juga ogah! malu makenya haha, jgn baper ya kan selera ",negatif
oppo berak ampas,negatif
bukannya sadar diri bikin produk lebih baik malah sibuk bikin konten ginian. ga ada gunanya.,negatif
hahahaha,negatif
" diprotes haptic feedback ngejawab layar, ga nyambung. dibahas chipset, bandingin ama chipset keluaran 2 taun lalu, masih kalah skor pula. laptopnya <del>apple</del> jg.",negatif
mesin 2022 d bandingin mesin 2024.  skor masih kalah 2024,negatif
5 menit terbuang hanya buat ngejelekin produknya sendiri ngakak,negatif
i didn&#39;t know youtube allows su*cide content on their platform like this </a>,negatif
oppo hp cuma buat ganjel pintu,negatif
mas mas cadel bahas pembelaan tekhnologi dibales tes performa lah jangan cuma cuap cuap kosong untung ga pernah beli produk cina satu ini,negatif
"video ini berhasil membuktikan kelas oppo  sebenarnya, belum pernah pake produk oppo sampe skrg, dan ga akan pernah...",negatif
emang produk oppo itu sejelek dan sesampah itu ya? kenapa cmo nya oppo sampe jijik untuk menggunakan prosuk oppo sendiri seperti oppo pad.,negatif
ini orang gak sadar kalau selama ini jualan oppo mengandalkan &quot;paksaan dan tipuan&quot; dari promotornya,negatif
1 kata lucu: oppo,negatif
kasian oppo imagenya jadi hancur gra2 ni orang... bkn apa2 bang.. penjualan oppo no 1 di indo.. apalagi oppo di indo udah lama banget puluhan tahun malahan,negatif
"bener, sayang reputasinya. padahal selama ini ga ada masalah, sekalinya video ini rilis, bubar semua.",negatif
@@kingjulian111 jujur ini cmo nya pembahasan nya ga jelas ga nyambung  sia2 kuliah tinggi2 tapi ah dahlah wkwkw,negatif
hey brooo davidd chanel nya jutaan tau kan kualitasnya? masa statement anda ga nyambung?david bkn sp2 tapi tau seluk beluk per hp an.. masa anda seorang cmo ah dahlah,negatif
cmo nya pendidikannya sebatas sd doang keknya,negatif
jaka sembung bawa golok.!,negatif
ga nyambung go .....,negatif
blunder awokawok,negatif
"niatnya mau ngelurusin statement yang beredar di kalangan tech reviewer, tapi setiap potongan video ga nyambung ‍↔️ di tambah logo apple lupa sensor. djahaha",negatif
i think it&#39;s wise not to review the tech reviewer,negatif
"setidaknya  seri atasnya ( 9 jt-an) pake 8300 lah / 7+ gen 3 (minimal 7 gen 3 sih) sebagai batas bawah, masih lebih menghargai uang konsumen aja gitu kesannya hehehe karena kelasnya premium mid range, setidaknya pakai lah chipshet  premium juga meskipun gak high end chipsetnya ;-)",negatif
"kasiah under ini orang, pada ketakutan ya? typical leader  bikin management dibawahnya harus jadi yes sir? ini leader gw liat suka ngepush tanpa arah",negatif
ayo david review  lebih pedas lagi dong kalo yang lain si abu²,negatif
komennya lebih banyak drpd likenya,negatif
its tickling the ego,negatif
"kritik itu penting dan keputusan konsumen juga penting, gimana pun kalian berharap duit dari konsumen, jangan menggali kuburan sendiri",negatif
ngapain bang?,negatif
memalukan oppo!,negatif
wkwkwkw oppo di jatuhkan oleh cmo nya sendiri,negatif
lawak dek,negatif
apa tim pr oppo gak ngelakuin rapat internal dulu ya? kok bisa bikin blunder gini ya. mana respon ga sesuai sama keluhan dari reviewernya. masa gak ada yang mikir resikonya,negatif
"bisa jadi kurang pengalaman team prnya, atau team prnya udah ngasih instruksi, tapi bossnya tetep mau pake caranya sendiri",negatif
kesini cuma mau baca komen️,negatif
seru asli,negatif
wkwkwkwk biasanya cm presentasi.. ini disuruh review ampe daleman.. mana ngerti nanggepin keluhan reviewer hp asli,negatif
"satu kata , wkwkwkwk",negatif
di sini saya tau bahwa gadge*<b>n tdk di byr opp</b>,negatif
laptopnya kok disensor po?,negatif
"asal lu tau aja bukan produk oppo reno 12 5g aja yang gak sesuai sama harganya ciilll , woyyyy lah pleasee",negatif
oppo blunder hahahaha.,negatif
cmo nya aja ginii wkwkwkwk,negatif
"alaah kintil , dari dulu aja begituu hp 3 jutaan gak seimbang , sama harga jualnya , blunderr lu baru keluar goaaa",negatif
itu macbook bukan sih?,negatif
iya dulu keliatan bgt logo apel kroak nya wkwkwkwkw tp videonya udah diblur diremake jd udah ilang logonya,negatif
@@muhammadsyamanirejeki6253 dia ajah malu-malu dg produk apple,negatif
tapi oppo emg awet,negatif
"parah blundernya, ini sebelum ditayangin apa gak dicek dulu ya? mengenai produk oppo, maaf gua bukan pangsa pasar kalian karena gua anti pocin2 club",negatif
"males banget liat bahasa campur2,, kalo memang mau bahasa indonesia/inggris ya dari awal ampe akhir,, lain  direview lain  dijawab,,",negatif
"iya njir cmo nya sok sok an inggris lagi, kan jd kasian david gadgetin mau dikritik mesin getar haptic feedback diperbaiki malah cmo bahas chipset busuk dibandingin pula sama flagship 2 tahun  lalu kek s22",negatif
"mensin getarnya om kl layar dah tau..., me sin ge tar...",negatif
cmo nya pendidikannya sebatas sd keknya,negatif
goblok,negatif
"the best video  pernah gua tonton, jumlah dislike lebih berkali2 lipat dari like. ",negatif
liat jumlah dislike dmn ya,negatif
gw keknya dengerin sensor doang dah,negatif
"better delete this video lol i mean see the negative backlash, over than 4,3k dislike xd",negatif
logo buah di blurr,negatif
"pangsa pasar oppo buat orang&quot; korban iklan, untung gw paham spek . pake mediatek nyenggol exynos lawak memang",negatif
bang hapus bang malu,negatif
apalah  di bahas bang david haptic feedback malah ke cip,negatif
kapal oleng kapteeeeen.... sbntr lagi tenggelam ini mah...,negatif
blunder,negatif
big l</a>niatnya mau nyari simpati publik eehhhhh malah blunder wkwkwkwkwwk,negatif
oppo harakiri di indonesia,negatif
dislike nya,negatif
woi david bilang layar getar lu malah ngomonging performa goblok nih sih owen,negatif
"di kritik dan dikasi saran bukannya memperbaiki dan meningkatkan, malah buat video klarifikasi, opoo  oppo",negatif
"oke u use corning gorilla glass victus 2, but what about i&#39;m throwing with sparkplug ? it will be destroy right",negatif
"the fact is, you use mac.",negatif
clown,negatif
kena pecat ni si muka dongo bentar lagi,negatif
seorang cmo yang berkomunikasi dengan bahasa level berak.....,negatif
best blunder moment in 2024 award! apakah cmo-nya masih akan menjabat di tahun 2025 setelah banyaknya hujatan netizen untuk video ini?,negatif
"minimal mandi, komuk masih lecek eh apa emang lecek dari lahir?",negatif
"tapi oppo tuh tahan banting loch. yap, memang beli produk brand ini tuh tujuannya bwt dibanting",negatif
baru beberapa detik jempol gak bisa nahan neken tombol dislike.. kenapa ya. ???,negatif
klo fokus performance tinggi cba di adu sama hp  harganya sama?,negatif
logo laptopnya kok gone? pake apple kan ? wokwokw,negatif
"apa ini marketing, suicide marketing?",negatif
"hp paling lawak,",negatif
anti kritik nih :v,negatif
"oppo semakin tenggelam hp 9 juta chipset nya kok mediatek mid range dan rasa 3 jutaan, yang penting tahun besok oppo gak pelit dan memberikan yang terbaik serta fitur melimpah",negatif
ohh ini yang di bilang @gtid  aaowkwowk,negatif
"selalu berbicara soal desain dan battery. sedangkan yang lain dari mesin, layar dan kestabilan buruk sekali. kalau moto ya design ya mesin ya sekitaran b aja. jangan sampai malah busuk  ini oppo lagi nyari cuan ektra atau gimana dah, makin lama makin no balance",negatif
sekelas cmo loh  kok bisa,negatif
lmfao secara tidak langsung dengan dia ngebandingin dim 7300 sama exynos 2200 yang keluaran tahun 2022 sama aja kalau mereka itu ngaku kalau pake chipset yang setara sama chipset lama 2 tahun yang lalu wkwkwkkwkwkwkwkkwkwkwkwkwkkwkwkwkwkwkwwk,negatif
"lah jadinya mau kemana pak? di kritik geter nya, jawab lebih fokus ke performa tinggi di kritik performa game, jawab lebih fokus ke ai, di kritik fitur ai, jawab emg ai nya blm sempurna, jdinya hp ini  di unggulin ap nya",negatif
mana logo apple yang di laptop itu awkawkk,negatif
seketika saham oppo anjlok ga lagi lagi bikin video reaction,negatif
"sekarang kita tau kenapa hp2 oppo kaya gini, cmo nya aja kaya gitu ",negatif
dimensity 7300 vs exynos 2200. lah kocak bagus exynos,negatif
yahaha dari dulu oppo hp hina,negatif
"infinix,tecno, and itel : oppo ",negatif
"di kritik mesin geter murah, bilangnya utamain performa.  tapi performa nya juga... malah tambah parah kalo dibanding brand sebelah.  ",negatif
seharusnya inti dari video ini tub. akuin aja terus nanti kami tingkatkan. gitu doang kok. malah ngebela diri  jadi keliatan anti kritik banget jadinya,negatif
oppo,negatif
aneh,negatif
"hahaha kocak,orang gk ada otak suruh ngomong,dikomen apa jawabnya apa,nyenggol brand sebelah pula",negatif
",,,,",negatif
"<a href="" baca komen min oppo",negatif
gw ga pernah pake oppo,negatif
bro fell off,negatif
libih ke ngeles ya,negatif
tandanya david gak di bayar ya teman teman. rill opini david sendiri. gak kaya yang ..........,negatif
bom dislike aja dah,negatif
hp ngebadut,negatif
logo apple kenapa udah hilang dari laptop??,negatif
"jijik banget anjer ngomong dicampur campur, bahasa kentut",negatif
siapa sih yang milih nih orang bapak nya petinggi kah jalur ordal,negatif
dari awal ga pernah pake oppo hadir ️,negatif
"ada yang tau nama ig cmonya oppo ,mau silaturahmi kesana",negatif
lawak,negatif
video ini cuma &quot;nambahin&quot; tugas sales hpnya buat klarifikasi di lapangan,negatif
lawakkkkk,negatif
kocak,negatif
anti kritik njir,negatif
"<a href="" chipset khusus untungnya wusssssssssssssssss",negatif
someone get this cmo out of the board please.,negatif
bossnya oppo saja pakai apple wkwk,negatif
bro benar-benar mencari cara bunuh diri paling konyol yang pernah terpikirkan,negatif
video apa ini woi,negatif
"aneh, banyak yang ga apple to apple  brand apple nya udah diapus nih btw",negatif
"emng dari dulu brand lawak keknyaa nih, sekalinya bagus malah blunder kek gini",negatif
"dari dulu sihh emang oppo aq ngerasa klk ngasih hp emang bagus dan harga lebih tinggi dari hpnya, jadii hp.nya tak bagus dengan harga segitu",negatif
"sir, you need to learn how to make a relatable response",negatif
cuihh,negatif
ngerti hp enggak sih ?,negatif
cm nitip....dislike,negatif
oppo pr team will regret this,negatif
bisa aja ngelesnya om,negatif
mmpir k sini abis nnton babank kutng,negatif
7300,negatif
konsisten banget kacaunya..,negatif
lah kok panas ?,negatif
"<a href="" kebutuhan bapak kau",negatif
"lah logo appel nya ilang, perasaan tadi ada ",negatif
login ... setelah nonton dari youtube bang kutang,negatif
sama anjir wkwkwk,negatif
d7300 9jt,negatif
badut sedang melawak,negatif
fix sih bakal turun pembelian hp oppo,negatif
dikelas harga  sama dengan kompetitor oppo ngasih chipset  paling lambat diantara lainnya,negatif
like : 280 dislike : 4000,negatif
bikin konten gini malah bundir,negatif
wkwkwkkw,negatif
cobalah buat chipset sendiri dengan nama oppo mechanical setara snapdragon    8 gen 1,negatif
"kalau soal desain dan layar, saya akui memang hp ini cakep banget. tapi kalo soal prososor itu bener kata david, prosesor lemah kelas 4 jutaan  sudahlah.. banyak netizen yang pinter spek, gak akan bisa meningkat meski mencoba membela diri kalo soal prosesor ini",negatif
laptopnya apple,negatif
setidaknya berikan konsumen hp berkualitas sesua dengan harga yang dikeluarkan,negatif
"benar2 menguasai ilmu sales tingkat dewa, pokoknya apapun kritikan  masuk jangan pernah terpaku pada kekurangan produk dan tetap fokus pada keunggulan produk walaupun pembahasannya gak nyambung   oppo.. oppo.. hp nya bagus tapi chipset nya badut.",negatif
"dikritik mesin geter, jawab nya layar  dikritik chipset dibandingin ama chipset 2thn lalu  lagi review product oppo eh pakainya device apple   satu2 nya apresiasi saya oppo masih buka klom komentar wkwk",negatif
"dl aja dlu, ",negatif
blunder lu oppo,negatif
gak heran sih kalau nanti gadgetin bikin judul video review mreka sebrutal mkbhd habis ini,negatif
blunder,negatif
"jangan bikin vidio ginian lagi ya, malu liatnya ",negatif
"dari jawaban nya, terlihat jelas nilai iq nyaa",negatif
shame on you oppo,negatif
perlu di serang kah ini ?? kalo dikritik itu intropeksi dasar bloon !! bukannya malah ngebela dan nyeret pihak laen dasar brand sampahh!!!  david itu kritik kontek   &quot;chipset yang tidak sesuai harga&quot; kenapa kalian malah banding&quot; aspek lain ???,negatif
lambang apel kegigitnya di edit wakakakak,negatif
target pasar oppo : orang gaptek,negatif
dimensity 7300 cipset terbaru di bandingin dengan chipset tua exynos 2200,negatif
"buset gak wak, gak cocok jadi cmo, jadi buzzer pemerintah tuh cocok",negatif
"hadeh oppo.. oppo.. keliatan bgt ga mau dikritiknya.. kalimat &quot;tapi, kami.. bla bla&quot;.. dah lah klo udah pake &quot;tapi&quot;2an, ngeles bgt.. akuin aja: iya, kami emang pake mesin geter murah  btw ga usah bnyk bacot, kami lebih percaya reviewer mcm david drpd anda.. eh anda sapa ya? ",negatif
"oppo zero respect, shame on you",negatif
mekbok di blur,negatif
kalau gw malu nihh,negatif
digging your own grave,negatif
wkwkwkwk udah full sensor yah skrg,negatif
nice oppo. langkah ini sangat bagus buat saya lebih mensyukuri infinix,negatif
bye-bye oppo,negatif
ini speaker nya orang mana sih? jaksel kah? cara dia campur2 bahasa jadi membingungkan untuk didengar.,negatif
ok. sekarang pake oppo adalah sebuah aib bagi gw,negatif
ditunggu klarifikasinya ya bos. jangan lupa sambil nangis biar yang maafin agak banyak.,negatif
8 jutaan cuma dpt chipset 7300 ??? mau kejar performance?? blokkkkk,negatif
yang beli hp oppo yakin dah orang yang gak paham spek + kena marketing sales oppo,negatif
udah dikasih surat pemecatan belum ya ini orang?,negatif
huaakksss cuihhhhh,negatif
"jujur an kalian rekrut seorang cmo kayak gini, kalo iya terlalu lawak sih buat sekelas oppo kayak gini",negatif
blunder,negatif
wkwkwkwkwk yang like videonya 282 yang dislike 4rb.,negatif
cmo oppo indonesia - patrick owen,negatif
aowkwok hp badut ya oppo,negatif
"<a href="" bro pikir dengan disensor brandnya bisa aman, tapi tidak disensor chipsetnya ",negatif
"mungkin kalian bisa &quot;react&quot; dengan menggunakan oppo pad, dibanding macbook air :d",negatif
kapan klarifikasinya bang,negatif
napa pake disensor tuh logo apple nyaa,negatif
goodbye oppo,negatif
"9jt dapet hp ampas wkwk, nambah 500rb udh dapet s23. segala aspek balance semua, dr chipset, fitur ai, os udh mateng, ip 68 masih bnyak lagi. buat oppo indonesia, ga ada untungnya lu buat video klarifikasi kaya gini, malah freak bgt, sama aja lu lagi gali buat kuburan lu sendiri.. user² smartphone udh pd pinter milih kali, harga 9jt lebih batter nya ke hp apa, ketimbang hp ampas kek gini wkwk",negatif
harga bintang lima. chipset kaki lima,negatif
sayang tombol dislike gk bisa dilihat jumlahnya,negatif
hp butut,negatif
@gadgetin,negatif
cmo gendeng,negatif
"ngandelin ai tapi bilang “ai kami belum sempurna”, mana pake nyenggol brand lain pula. diketawain noh sama galaxy ai yang ai nya bagus tapi ga perlu senggol sana sini wkwk",negatif
makin lawak  dislike aja udah hampir 4k,negatif
where the apple logo?,negatif
critical friendly fire,negatif
apple : shut up,negatif
"konsumen sekarang udah pinter udah paham spek berkat berbagai gadget reviewer kek david gadgetin, produk lu  gimmick udah gak laku lagi inti nya ...",negatif
intinya over price sih menurut gue dengan fitur &amp; teknologi yang diberikan,negatif
sudah disensor merknya,negatif
sakno melu tenggelam 2030 wkwk,negatif
"jawaban   refresh rate bener2 kocak, ga kalah sm  di awal wk",negatif
"bjirr udahlah pake produk apple nggak pd ama produk sendiri, bahasa kentut jaksel, nggak bisa nelen fakta. dislike 3.9 ribu awokawokawok",negatif
"btw, indo lu lancarin dulu bos",negatif
vote david gadget in.,negatif
bro membuat oppo reno 12 pro cuma buat nyari viewer ama hate comment doang,negatif
blunderrrrr,negatif
"bruh, suicide marketing",negatif
membadut,negatif
"oppo ,oppo benerin aja produk lo jangan ngina produk lain ,siap jualan siap dihujat jika produk tak sesuai , koreksi aja barang lu kaya gini lo liatin kepada publik kebobrokan lu.",negatif
denial amat bang,negatif
cmo kayak gitu disuruh reaction video ginian malah blunder,negatif
gajelas kocak. malah matiin brand sendiri wkwk,negatif
ngomong apa boti ini,negatif
bukannya itu macbook ya? kok diblur logo apelnya?,negatif
anda sadarkah dgn video statement ini malah ngehancurin oppo sendiri? cape2 ngebangun brand oppo loh kalian. pecat org ini kalo bisa,negatif
udah akhir tahun bukannya mereka santai malah bikin blunder an,negatif
"cmonya aja kaga nyambung, pantesan aja marketingnya joget2 ga nyambung juga ",negatif
ini cmo tidak pernah pr trained? please fire this incompetent overpaid &quot;cmo&quot; asap for the good of your brand. brand suicide ini mah namanya.  per post ini: 274 likes vs 3.8rb dislikes. astonishing work &quot;cmo&quot;. never buying a single oppo product ever again.,negatif
"cmo pakai airpod gak sih  di shot sebelah kiri doang, yang kanan gak ",negatif
over price,negatif
mau nya apa sih,negatif
lebih percaya david gadgetin dripada sales oppo,negatif
"jadi kita tau oppo childist, anti kritik, sedikit ga nyambung, banding-bandingin ama produk lain... dan sisi positifnya kolom komentar masih tidak dibatasi ",negatif
wkwkwk anti kritik?,negatif
malu tuh gw,negatif
kalo kata coach justin: &quot;kelar itu oppo!&quot;,negatif
not so objective review of reviewers,negatif
"trust me, in a few days, comment section will be closed.   this is really big blunder by oppo indonesia.  they shouldn&#39;t make this video.",negatif
oppo find x5 pro panasnya kek kompor,negatif
kontoi,negatif
masalahnya lu di negara lain kasih chipset lebih kenceng badut. disini dikrit	ik kasih pembelaan. mana usernya pada bela. justru kalau lu suka oppo harusnya malah seneng ada  kritik biar gak dibedain dengan negara lain atau dibodohi,negatif
kaga nyabunggg muterrr muterrrrr ...,negatif
"dg harga segitu keunggulannya di layar? yaelah, udah basi broo, tecno spark 20 pro+ noh 1,9 udah dapet layar curved  ketika brand udah mulai jemawa, malah tambah keliatan jelas dungunya ",negatif
soimah pernah berkata: oppo ora eman duitte gawe tuku oppo setan,negatif
"reviewer udah kritiknya dimana, malah ngebalesnya dimana  makin ke sini makin ke sana  kocak kntl cicak",negatif
ada logo applenya,negatif
produk gagal di klarifikasi,negatif
±90% yang nonton video ini mendislike  yes        yes    yes yes yes yesyes    yes  yes        yes yes yes  yes   yes        yes yes    yesyes  yes        yes yes        yes    yes yes yes  karena apa?,negatif
brand badut,negatif
"blunder pak.. fans bang david banyak karna beliau reviewnya jujur.. semangat bang david, semangat oppo",negatif
chipset midrange bandrol flagship,negatif
"oppo indonesia ya ini? tapi kok gunain bahasa kentut? koawkokoakoawo. ampas-ampas aja bang, buktinya penjualan ni hp dikit banget dan pastinya gak nyentuh target penjualan kan? setengahnya aja gak nyampe pasti wkwkwkkw.",negatif
"tolong dong netizen indo yang 11 12 sama fbi, cari tau identitas orang ini siapa ",negatif
lah kan ada namanya di awal,negatif
"@@yomi_supremacy itu nama doang , klo bisa semuanyz di doxxing, bahkan nomor sepatu nya pun ketahuan ",negatif
masnya itu lagi bicara atau lagi kumur kumur? kok bahasanya mix gitu,negatif
sok inggris lo,negatif
kolom komentar masih bisa gais,negatif
dislike lebih banyak dari like ny,negatif
selamat kalian blunder,negatif
"udah mau 2025 kalian masih make hp oppo? hp kikir, pelit spek, over price, sipaling kamera padahal ****. gak bisa di oprek. lantas apa yang jadi bahan pertimbangan buat beli oppo kalo bukan karna bujuk rayu sales nya wkwkwkwk",negatif
samsul pun masih bisa dioprek walau knox nya mesti mati,negatif
lebih seru baca komentar daripada isi video hahhahahahaha,negatif
hahahahhahahahahahaha,negatif
siapa  buka video ini cuma mau liat komentar dan video ny di pause... wkkk,negatif
lawak  kritik heptic feedback... layar &amp; performa kritik harga 8jtan pake d7300 malah kompare ke ke chipset dibawahnya technology ai cuma ada di oppo? halooooo... beneran? lucu.... lucu....lucu,negatif
"awalnya: heptic tidak perlu, kita lebih berfokus ke performa yang tinggi selanjutnya: yah kita pake chipset itu karena kita mengejar keseimbangan  konsisten sekali bapak ini",negatif
hahaha,negatif
oppo baper,negatif
"logical thinkingnya di tingkatkan lagi, supaya bisa menangkap maksud dari apa yang orang mau sampaikan, seorang cmo kualitasnya begini? tepok jidat deh",negatif
"you are misperceived, sir ",negatif
mau menobatkan diri jadi brand anti kritik sepertinya...   sy mampir sini gegara sobat hape,negatif
hp oppo spesifikasi sama harga nya gak masuk akal,negatif
buat iklanin david,negatif
"oppo belajarlah dari brand brand lain rekan senegaramu, jangan malu dan jangan keras kepala, netizen &amp; konsumen  indo beda dengan china jangan disamakan ",negatif
belum dihapus juga ini video,negatif
minimal macbook nya di sensor pak,negatif
clown cmo,negatif
nih buat skrip konten gak habis nyimenk kan dut,negatif
"orang alay, gaya ngomong nya aja kek kontoi",negatif
bener campur2 pake b.inggris malah jadi keliatan norak,negatif
bjir lawak kocak,negatif
"tahun 2024, masa bandingin nya sama exynos 2200, harusnya bandingin  sama keluaran tahun barunya juga dong, 2024.... yaitu exy2400 = s24fe",negatif
brand badut,negatif
so even the oppo cmo doesn&#39;t know exactly what his product selling point. i really can&#39;t blame sales and marketing team in the area,negatif
"exactly! bikin produk military grade aja ngiklaninnya ga jelas nyasar ke mana, padahal kan harusnya digencarin untuk orang lapangan.  terus bikin video gini juga buat ke siapa? orang yang cukup melek teknologi mah ga bakal mempan diginiin, yang ada malah makin hujat. orang awam? orang awam mah ga peduli juga sama spek kayak apa, yang penting hp nya cakep. bener-bener cmo  yang aneh",negatif
ada apaan nih rame²?,negatif
"udah 3,6 ribu dislike ",negatif
kesini cuma buat dislike aja ... ngeliatin brand blunder itu emang satisfying aowkawokawok .....,negatif
"mau menjawab keluhan secara smart tapi jadi badut hasilnya, keliatan ngak smart2 amat.",negatif
semoga bang kutang lihat ini,negatif
brand badut tahun 2024. semoga tahun depan konsisten.,negatif
apple coyy,negatif
kalo gw malu tuh,negatif
"yakin dah dia sendiri g paham apa  diomong, dia cuma baca teks.",negatif
hidup david,negatif
 penting di jawab entah apapun jawabanya,negatif
"<a href="" udah disensor tapi masih kelihatan akwokwowk",negatif
"stupid move oppo, very stupid!..",negatif
blunder,negatif
